"","code","title","timing","scope","severity","score","invasive","sp"
"113","4.3","Shipping lanes","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"114","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"115","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"116","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Melanitta nigra"
"117","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Melanitta nigra"
"118","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Melanitta nigra"
"119","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Melanitta nigra"
"120","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"121","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"122","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"123","9.3.4","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Melanitta nigra"
"124","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA,"Clangula hyemalis"
"125","11.5","Other impacts","Future","Whole (>90%)","Unknown","Unknown",NA,"Clangula hyemalis"
"126","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"127","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"128","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Clangula hyemalis"
"129","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Clangula hyemalis"
"130","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Clangula hyemalis"
"131","5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Clangula hyemalis"
"132","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Clangula hyemalis"
"133","8.1","Invasive non-native/alien species/diseases (Neogobius melanostomus)","Ongoing","Minority (<50%)","Unknown","Unknown","Neogobius melanostomus","Clangula hyemalis"
"134","8.1","Invasive non-native/alien species/diseases (Pasteurella multocida)","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact","Pasteurella multocida","Clangula hyemalis"
"135","8.1.2","Named species (Neogobius melanostomus)","Ongoing","Minority (<50%)","Unknown","Unknown","Neogobius melanostomus","Clangula hyemalis"
"136","8.1.2","Named species (Pasteurella multocida)","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact","Pasteurella multocida","Clangula hyemalis"
"137","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Clangula hyemalis"
"138","8.5.2","Named species","Future","Minority (<50%)","Rapid Declines","Low Impact: 4",NA,"Clangula hyemalis"
"139","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Clangula hyemalis"
"140","9.2.1","Oil spills","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Clangula hyemalis"
"141","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"142","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"143","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"144","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala clangula"
"145","8.1","Invasive non-native/alien species/diseases (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis","Bucephala clangula"
"146","8.1.2","Named species (Perca fluviatilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Perca fluviatilis","Bucephala clangula"
"147","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Bucephala clangula"
"148","9.2.1","Oil spills","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Bucephala clangula"
"149","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Bucephala islandica"
"150","1.3","Tourism & recreation areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bucephala islandica"
"151","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"152","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"153","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"154","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"155","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bucephala islandica"
"156","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Bucephala islandica"
"157","8.1","Invasive non-native/alien species/diseases (Salvelinus fontinalis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Salvelinus fontinalis","Bucephala islandica"
"158","8.1.2","Named species (Salvelinus fontinalis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Salvelinus fontinalis","Bucephala islandica"
"159","8.2","Problematic native species/diseases (Dendroctonus ponderosae)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Dendroctonus ponderosae","Bucephala islandica"
"160","8.2.2","Named species (Dendroctonus ponderosae)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Dendroctonus ponderosae","Bucephala islandica"
"161","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"162","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Bucephala islandica"
"163","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Mergus merganser"
"164","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Mergus merganser"
"165","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Mergus serrator"
"166","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Mergus serrator"
"167","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"168","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"169","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"170","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"171","2.3","Livestock farming & ranching","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"172","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"173","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"174","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"175","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"176","7.1.2","Supression in fire frequency/intensity","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Colinus virginianus"
"177","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Centrocercus urophasianus"
"178","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Centrocercus urophasianus"
"179","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Centrocercus urophasianus"
"180","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Centrocercus urophasianus"
"181","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Centrocercus urophasianus"
"182","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Centrocercus urophasianus"
"183","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Centrocercus urophasianus"
"184","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Centrocercus urophasianus"
"185","5.1.3","Persecution/control","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Centrocercus urophasianus"
