,keyword,fr_count,fr_mean
594,Pipit maritime,2263,10.15
595,Pipit rousseline,1301,5.83
596,Pipit spioncelle,1993,8.94
597,Piranga ecarlate,1136,5.09
598,Pitohui bicolore,1362,6.14
599,Plectrophane des neiges,1852,8.30
600,Plongeon arctique,1516,6.83
601,Plongeon catmarin,1292,5.82
602,Plongeon du Pacifique,208,0.94
603,Plongeon huard,2350,10.59
604,Pluvier asiatique,265,1.19
605,Pluvier kildir,1089,4.91
606,Pluvier roux,700,3.15
607,Pluvier siffleur,1288,5.80
608,Podarge de Ceylan,815,3.67
609,Podarge gris,1303,5.87
610,Podarge oreillard,234,1.05
611,Pouillot brun,1143,5.13
612,Pouillot de Bonelli,1197,5.37
613,Pouillot de Hume,378,1.70
614,Pouillot de Pallas,1067,4.78
615,Pouillot de Schwarz,388,1.74
616,Pouillot fitis,3285,14.73
617,Pouillot oriental,241,1.08
618,Pouillot siffleur,3281,14.71
619,Pouillot veloce,1456,6.53
620,Puffin a bec grele,181,0.82
621,Puffin des Anglais,1304,5.87
622,Puffin fouquet,355,1.60
623,Puffin fuligineux,483,2.18
624,Puffin yelkouan,788,3.55
625,Pygargue a queue blanche,1298,5.85
626,Pygargue a tete blanche,2655,11.96
627,Pygargue blagre,665,3.00
628,Pygargue empereur,389,1.75
629,Quetzal resplendissant,1454,6.55
630,Quiscale merle,1766,7.92
631,Quiscale noir,1762,7.90
632,Quiscale rouilleux,2000,8.97
633,Rale de Cuvier,164,0.74
634,Rale des genets,2672,12.04
635,Republicain social,2805,12.58
636,Robin dore,2280,10.22
637,Roitelet huppe,1492,6.69
638,Rollier a longs brins,641,2.89
639,Roselin cramoisi,792,3.55
640,Roselin familier,1179,5.29
641,Roselin githagine,760,3.41
642,Roselin rose,2359,10.58
643,Rossignol bleu,3254,14.59
644,Rossignol philomele,726,3.26
645,Rougegorge familier,960,4.30
646,Rougequeue a front blanc,1277,5.73
647,Rougequeue noir,3675,16.48
648,Rousserolle effarvatte,1240,5.56
649,Rousserolle isabelle,334,1.50
650,Rousserolle turdoide,1227,5.50
651,Rousserolle verderolle,639,2.87
652,Sarcelle de Bernier,310,1.40
653,Sarcoramphe roi,605,2.73
654,Serin cini,7435,33.34
655,Serin des Canaries,1386,6.22
656,Serin du Mozambique,2868,12.86
657,Sittelle corse,1419,6.36
658,Sittelle kabyle,612,2.74
