,keyword,mean
718,Vanneau huppe,10.60810811
719,Vanneau sociable,2.5
720,Vanneau soldat,2.959459459
721,Vautour africain,10.5990991
722,Vautour charognard,17.31981982
723,Vautour fauve,21.67567568
724,Vautour moine,15.52252252
725,Vautour oricou,2.315315315
726,Vautour royal,16.7027027
727,Venturon corse,3.488789238
728,Venturon montagnard,7.865470852
729,Veuve dominicaine,7.062780269
730,Vireo melodieux,3.941441441
731,Guillemot marmette,2.686098655
732,Vautour de Ruppell,3.103139013
733,Vautour fauve,20.67264574
