"","Var1","Freq"
"641","Ceblepyris cucullatus",6
"642","Ceblepyris graueri",4
"643","Cecropis daurica",2
"644","Celeus galeatus",12
"645","Celeus obrieni",13
"646","Celeus tinnunculus",6
"647","Celeus torquatus",5
"648","Celeus undatus",8
"649","Centrocercus minimus",12
"650","Centrocercus urophasianus",17
"651","Centropus chalybeus",4
"652","Centropus chlororhynchos",14
"653","Centropus nigrorufus",10
"654","Centropus rectunguis",11
"655","Centropus steerii",5
"656","Centropus unirufus",9
"657","Centropus violaceus",4
"658","Cephalopterus glabricollis",8
"659","Cephalopterus penduliger",15
"660","Cepphus carbo",9
"661","Cepphus columba",7
"662","Cepphus grylle",12
"663","Ceratogymna elata",11
"664","Cercococcyx lemaireae",2
"665","Cercomacra brasiliana",5
"666","Cercomacra carbonaria",10
"667","Cercomacra ferdinandi",8
"668","Cerorhinca monocerata",11
"669","Certhia tianquanensis",6
"670","Certhidea olivacea",9
"671","Certhilauda chuana",1
"672","Ceyx argentatus",17
"673","Ceyx cajeli",5
"674","Ceyx dispar",4
"675","Ceyx fallax",9
"676","Ceyx flumenicola",17
"677","Ceyx gentianus",4
"678","Ceyx melanurus",8
"679","Ceyx mindanensis",8
"680","Ceyx nigrirostris",11
"681","Ceyx sangirensis",9
"682","Ceyx wallacii",7
"683","Ceyx websteri",5
"684","Chaetocercus berlepschi",14
"685","Chaetocercus bombus",10
"686","Chaetops aurantius",3
"687","Chaetops frenatus",3
"688","Chaetoptila angustipluma",6
"689","Chaetura andrei",6
"690","Chaetura pelagica",4
"691","Chalcomitra balfouri",4
"692","Chamaepetes unicolor",8
"693","Chamaetylas choloensis",11
"694","Chamaetylas fuelleborni",1
"695","Charadrius alexandrinus",12
"696","Charadrius aquilonius",13
"697","Charadrius asiaticus",4
"698","Charadrius bicinctus",21
"699","Charadrius dealbatus",12
"700","Charadrius dubius",14
"701","Charadrius hiaticula",1
"702","Charadrius javanicus",4
"703","Charadrius leschenaultii",15
"704","Charadrius marginatus",8
"705","Charadrius melodus",15
"706","Charadrius mongolus",4
"707","Charadrius montanus",15
"708","Charadrius nivosus",13
"709","Charadrius obscurus",13
"710","Charadrius pallidus",8
"711","Charadrius pecuarius",13
"712","Charadrius peronii",3
"713","Charadrius sanctaehelenae",17
"714","Charadrius semipalmatus",1
"715","Charadrius thoracicus",9
"716","Charitospiza eucosma",8
"717","Charmosyna amabilis",11
"718","Charmosyna diadema",10
"719","Charmosyna margarethae",4
"720","Charmosyna meeki",4
