threatened,masscentr,rangecentr,Migration,agriculture,climate_change,invasive,resource_use
0,-2.103903798,-2.621476641,1,1,0,0,1
0,-1.120804397,-2.053602206,1,1,0,0,1
0,-2.304574494,2.30031404,1,0,0,0,1
0,-1.622600614,4.60504022,3,0,1,0,0
0,0.20773113,3.46211846,3,1,0,0,0
0,-1.452526031,4.37657825,2,1,0,0,0
1,0.152161279,-5.482491168,1,1,1,1,1
1,-2.03369954,0.41826723,1,1,0,0,0
1,-1.992199809,2.21453015,1,1,0,0,0
1,-2.103903798,-1.287442252,2,1,0,0,1
0,-1.144901948,1.07485667,2,0,1,0,0
0,-2.240035973,-3.031362949,1,1,1,0,0
1,-2.085885293,-4.793405496,1,1,0,0,1
1,-0.53528788,-7.601902594,1,0,1,1,0
1,-2.068185716,0.78587987,1,1,0,0,0
0,-0.658054906,0.84347313,1,1,0,0,0
0,-2.008593618,-1.42085668,1,1,0,0,1
0,-1.017486783,0.20761117,1,1,0,0,1
1,0.307127953,1.09125275,1,1,0,0,1
0,-1.622600614,0.66293606,1,1,0,0,1
0,0.161640023,-3.293957662,1,1,0,1,1
1,-2.059452036,-8.104326488,1,1,0,0,1
0,-2.016892421,-4.625377303,1,0,1,0,0
0,-1.506066797,-1.965593168,1,0,1,0,1
0,-0.587778063,4.25030774,3,1,0,0,1
0,-2.076996345,-0.17421129,1,1,0,0,0
0,-0.681891354,4.24927481,1,1,0,0,0
0,-1.94457176,-1.180886754,1,0,1,0,0
0,-2.050793973,0.22653665,1,1,0,0,1
0,-1.94457176,-4.726507841,1,1,1,1,0
0,0.745225001,-3.082663248,1,1,0,0,1
1,-0.335133847,-2.981782443,3,1,0,0,1
