"","count","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation","result.category"
"503",11162,22703795,"Amytornis goyderi",NA,NA,NA,"LC"
"504",11162,22703807,"Amytornis housei",NA,NA,NA,"NT"
"505",11162,22732155,"Amytornis merrotsyi",NA,NA,NA,"NT"
"506",11162,103684164,"Amytornis modestus",NA,NA,NA,"LC"
"507",11162,22735659,"Amytornis purnelli",NA,NA,NA,"LC"
"508",11162,22734297,"Amytornis striatus",NA,NA,NA,"LC"
"509",11162,103684117,"Amytornis textilis",NA,NA,NA,"LC"
"510",11162,22703783,"Amytornis woodwardi",NA,NA,NA,"VU"
"511",11162,22702843,"Anabacerthia amaurotis",NA,NA,NA,"NT"
"512",11162,22702855,"Anabacerthia lichtensteini",NA,NA,NA,"LC"
"513",11162,22702792,"Anabacerthia ruficaudata",NA,NA,NA,"LC"
"514",11162,22702789,"Anabacerthia striaticollis",NA,NA,NA,"LC"
"515",11162,22702786,"Anabacerthia variegaticeps",NA,NA,NA,"LC"
"516",11162,22717709,"Anabathmis hartlaubii",NA,NA,NA,"LC"
"517",11162,22717714,"Anabathmis newtonii",NA,NA,NA,"LC"
"518",11162,22717705,"Anabathmis reichenbachii",NA,NA,NA,"LC"
"519",11162,22702913,"Anabazenops dorsalis",NA,NA,NA,"LC"
"520",11162,22702881,"Anabazenops fuscus",NA,NA,NA,"LC"
"521",11162,22699383,"Anairetes alpinus",NA,NA,NA,"EN"
"522",11162,22699401,"Anairetes fernandezianus",NA,NA,NA,"NT"
"523",11162,22699397,"Anairetes flavirostris",NA,NA,NA,"LC"
"524",11162,22699387,"Anairetes nigrocristatus",NA,NA,NA,"LC"
"525",11162,22699406,"Anairetes parulus",NA,NA,NA,"LC"
"526",11162,22699393,"Anairetes reguloides",NA,NA,NA,"LC"
"527",11162,103812651,"Anaplectes jubaensis",NA,NA,NA,"LC"
"528",11162,103812620,"Anaplectes leuconotos",NA,NA,NA,"LC"
"529",11162,103812581,"Anaplectes rubriceps",NA,NA,NA,"LC"
"530",11162,22693928,"Anarhynchus frontalis",NA,NA,NA,"VU"
"531",11162,22680301,"Anas acuta",NA,NA,NA,"LC"
"532",11162,22727280,"Anas albogularis",NA,NA,NA,"VU"
"533",11162,22735557,"Anas andium",NA,NA,NA,"LC"
"534",11162,22680280,"Anas aucklandica",NA,NA,NA,"NT"
"535",11162,22680287,"Anas bahamensis",NA,NA,NA,"LC"
"536",11162,22680252,"Anas bernieri",NA,NA,NA,"EN"
"537",11162,22680145,"Anas capensis",NA,NA,NA,"LC"
"538",11162,22729498,"Anas carolinensis",NA,NA,NA,"LC"
"539",11162,22680277,"Anas castanea",NA,NA,NA,"LC"
"540",11162,22728303,"Anas chlorotis",NA,NA,NA,"NT"
"541",11162,22680321,"Anas crecca",NA,NA,NA,"LC"
"542",11162,22680306,"Anas eatoni",NA,NA,NA,"VU"
"543",11162,22680290,"Anas erythrorhyncha",NA,NA,NA,"LC"
"544",11162,22736320,"Anas flavirostris",NA,NA,NA,"LC"
"545",11162,22680178,"Anas fulvigula",NA,NA,NA,"LC"
"546",11162,22680310,"Anas georgica",NA,NA,NA,"LC"
"547",11162,22727271,"Anas gibberifrons",NA,NA,NA,"NT"
"548",11162,22680271,"Anas gracilis",NA,NA,NA,"LC"
"549",11162,22680203,"Anas laysanensis",NA,NA,NA,"CR"
"550",11162,22680214,"Anas luzonica",NA,NA,NA,"VU"
"551",11162,22728666,"Anas marecula",NA,NA,NA,"EX"
"552",11162,22680225,"Anas melleri",NA,NA,NA,"EN"
"553",11162,22724580,"Anas nesiotis",NA,NA,NA,"VU"
"554",11162,22680186,"Anas platyrhynchos",NA,NA,NA,"LC"
"555",11162,22736541,"Anas poecilorhyncha",NA,NA,NA,"LC"
"556",11162,22680174,"Anas rubripes",NA,NA,NA,"LC"
"557",11162,22680170,"Anas sparsa",NA,NA,NA,"LC"
"558",11162,22680217,"Anas superciliosa",NA,NA,NA,"LC"
"559",11162,22728662,"Anas theodori",NA,NA,NA,"EX"
"560",11162,22697664,"Anastomus lamelligerus",NA,NA,NA,"LC"
"561",11162,22697661,"Anastomus oscitans",NA,NA,NA,"LC"
"562",11162,22680221,"Anas undulata",NA,NA,NA,"LC"
"563",11162,22680199,"Anas wyvilliana",NA,NA,NA,"EN"
"564",11162,22736042,"Anas zonorhyncha",NA,NA,NA,"LC"
"565",11162,22702757,"Ancistrops strigilatus",NA,NA,NA,"LC"
"566",11162,22682061,"Andigena cucullata",NA,NA,NA,"LC"
"567",11162,22682055,"Andigena hypoglauca",NA,NA,NA,"NT"
"568",11162,22682050,"Andigena laminirostris",NA,NA,NA,"NT"
"569",11162,22682066,"Andigena nigrirostris",NA,NA,NA,"LC"
"570",11162,22687019,"Androdon aequatorialis",NA,NA,NA,"LC"
"571",11162,22712795,"Andropadus importunus",NA,NA,NA,"LC"
"572",11162,22705324,"Androphobus viridis",NA,NA,NA,"LC"
"573",11162,22679723,"Anhima cornuta",NA,NA,NA,"LC"
"574",11162,22696702,"Anhinga anhinga",NA,NA,NA,"LC"
