cur_alternate_com_name,sci_name
Canard colvert ou C. des Hawai,Anas platyrhynchos/wyvilliana
Canard colvert ou C. a bec tachete,Anas platyrhynchos/poecilorhyncha
Canard colvert ou C. de Chine,Anas platyrhynchos/zonorhyncha
Canard du Mexique,Anas diazi
Hybride Canard colvert x C. du Mexique,Anas platyrhynchos x diazi
Canard colvert ou C. du Mexique,Anas platyrhynchos/diazi
Canard noir,Anas rubripes
Hybride Canard d'Amerique x C. noir,Mareca americana x Anas rubripes
Hybride Canard colvert x C. noir,Anas platyrhynchos x rubripes
Canard colvert ou C. noir,Anas platyrhynchos/rubripes
Canard brun,Anas fulvigula
Canard brun (fulvigula),Anas fulvigula fulvigula
Canard brun (maculosa),Anas fulvigula maculosa
Hybride Canard colvert x C. brun,Anas platyrhynchos x fulvigula
Canard colvert ou C. brun,Anas platyrhynchos/fulvigula
Hybride Canard colvert x C. du Mexique ou C. brun,Anas platyrhynchos x diazi/fulvigula
Hybride Canard du Mexique x C. brun,Anas diazi x fulvigula
Canard du Mexique ou C. brun,Anas diazi/fulvigula
Canard noir ou C. brun,Anas rubripes/fulvigula
Canard du Cap,Anas capensis
Canard des Bahamas,Anas bahamensis
Canard des Bahamas (bahamensis/rubrirostris),Anas bahamensis bahamensis/rubrirostris
Canard des Bahamas (galapagensis),Anas bahamensis galapagensis
Hybride Canard colvert x C. des Bahamas,Anas platyrhynchos x bahamensis
Canard a bec rouge,Anas erythrorhyncha
Canard pilet,Anas acuta
Hybride Sarcelle elegante x Canard pilet,Sibirionetta formosa x Anas acuta
Hybride Canard chipeau x C. pilet,Mareca strepera x Anas acuta
Hybride Canard siffleur x C. pilet,Mareca penelope x Anas acuta
Hybride Canard d'Amerique x C. pilet,Mareca americana x Anas acuta
Hybride Canard colvert x C. pilet,Anas platyrhynchos x acuta
Hybride Canard noir x C. pilet,Anas rubripes x acuta
Canard d'Eaton,Anas eatoni
Canard a queue pointue,Anas georgica
Canard a queue pointue (georgica),Anas georgica georgica
Canard a queue pointue (spinicauda/niceforoi),Anas georgica spinicauda/niceforoi
Sarcelle d'hiver,Anas crecca
Sarcelle d'hiver (crecca),Anas crecca crecca
Sarcelle d'hiver (carolinensis),Anas crecca carolinensis
Sarcelle d'hiver (crecca x carolinensis),Anas crecca crecca x carolinensis
Hybride Sarcelle d'ete x S. d'hiver,Spatula querquedula x Anas crecca
Sarcelle d'ete ou S. d'hiver,Spatula querquedula/Anas crecca
Hybride Sarcelle a ailes bleues x S. d'hiver,Spatula discors x Anas crecca
Hybride Sarcelle cannelle x S. d'hiver,Spatula cyanoptera x Anas crecca
Hybride Canard chipeau x Sarcelle d'hiver,Mareca strepera x Anas crecca
Hybride Canard siffleur x Sarcelle d'hiver,Mareca penelope x Anas crecca
Hybride Canard d'Amerique x Sarcelle d'hiver,Mareca americana x Anas crecca
Hybride Canard colvert x Sarcelle d'hiver,Anas platyrhynchos x crecca
Hybride Canard pilet x Sarcelle d'hiver,Anas acuta x crecca
Sarcelle des Andes,Anas andium
Sarcelle des Andes (altipetens),Anas andium altipetens
Sarcelle des Andes (andium),Anas andium andium
Sarcelle tachetee,Anas flavirostris
Sarcelle tachetee (flavirostris),Anas flavirostris flavirostris
Sarcelle tachetee (oxyptera),Anas flavirostris oxyptera
Canard a queue pointue ou Sarcelle tachetee,Anas georgica/flavirostris
Sarcelle des Andes ou S. tachetee,Anas andium/flavirostris
Sarcelle de Maurice,Anas theodori
Sarcelle des Andaman,Anas albogularis
Sarcelle grise,Anas gibberifrons
Sarcelle australasienne,Anas gracilis
Hybride Canard a sourcils x Sarcelle australasienne,Anas superciliosa x gracilis
Sarcelle rousse,Anas castanea
Hybride Canard a sourcils x Sarcelle rousse,Anas superciliosa x castanea
Hybride Sarcelle australasienne x S. rousse,Anas gracilis x castanea
Sarcelle australasienne ou S. rousse,Anas gracilis/castanea
Sarcelle de Bernier,Anas bernieri
Sarcelle des Auckland,Anas aucklandica
Sarcelle de Campbell,Anas nesiotis
Sarcelle de Nouvelle-Zelande,Anas chlorotis
Hybride Canard colvert x Sarcelle de Nouvelle-Zelande,Anas platyrhynchos x chlorotis
Anas sp.,Anas sp.
Sarcelle sp.,Anatidae sp. (teal sp.)
Anatide sp. (Canard barboteur sp.),Anatidae sp. (dabbling duck sp.)
Malacorhynque a oreilles roses,Malacorhynchus membranaceus
Marmaronette marbree,Marmaronetta angustirostris
Nette a cou rose,Rhodonessa caryophyllacea
Nette a ailes blanches,Asarcornis scutulata
