"","French.name"
"685","Colombe a gorge blanche"
"686","Colombe bridee"
"687","Colombe du Chiriqui"
"688","Colombe de Goldman"
"689","Tourterelle a ailes blanches"
"690","Tourterelle côtiere"
"691","Tourterelle a queue carree"
"692","Tourterelle des Galapagos"
"693","Tourterelle oreillarde"
"694","Tourterelle triste"
"695","Tourterelle de Socorro"
"696","Colombe inca"
"697","Colombe ecaillee"
"698","Colombe a queue noire"
"699","Colombe pygmee"
"700","Colombe de Buckley"
"701","Colombe rousse"
"702","Colombe picui"
"703","Colombe a bec jaune"
"704","Colombe aux yeux bleus"
"705","Colombe bleutee"
"706","Colombe mondetour"
"707","Colombe de Geoffroy"
"708","Colombe de Cecile"
"709","Colombe de Moreno"
"710","Colombe a ailes noires"
"711","Colombe aymara"
"712","Colombe a longue queue"
"713","Colombine a front blanc"
"714","Colombine de Nouvelle-Bretagne"
"715","Gallicolombe poignardee"
"716","Gallicolombe de Bartlett"
"717","Gallicolombe de Mindoro"
"718","Gallicolombe de Negros"
"719","Gallicolombe de Tawi-Tawi"
"720","Gallicolombe tristigmate"
"721","Gallicolombe a poitrine d'or"
"722","Gallicolombe de Wetar"
"723","Gallicolombe de Jobi"
"724","Gallicolombe de Kubary"
"725","Gallicolombe pampusane"
"726","Gallicolombe erythroptere"
"727","Gallicolombe des Marquises"
"728","Gallicolombe de Beccari"
"730","Gallicolombe des Palau"
"731","Gallicolombe des Santa Cruz"
"732","Gallicolombe de Stair"
"733","Colombine wonga"
"734","Colombine rufipenne"
"735","Colombine des rochers"
"736","Colombine plumifere"
"737","Colombine marquetee"
"738","Colombine de Smith"
"739","Colombine lumachelle"
"740","Colombine elegante"
"741","Colombine arlequin"
"742","Colombine longup"
"743","Geopelie diamant"
"744","Geopelie zebree"
"745","Geopelie placide"
"746","Geopelie de Mauge"
"747","Geopelie a nuque rousse"
"748","Trugon terrestre"
"750","Otidiphaps noble"
"753","Goura couronne"
"754","Goura de Sclater"
"755","Goura de Scheepmaker"
"756","Goura de Victoria"
"757","Nicobar a camail"
"758","Diduncule strigirostre"
"759","Colombine turvert"
"760","Colombine du Pacifique"
"761","Colombine d'etienne"
"762","Tourtelette emeraudine"
"763","Tourtelette d'Abyssinie"
"764","Tourtelette amethystine"
"765","Tourtelette tambourette"
"766","Tourtelette demoiselle"
"767","Tourtelette masquee"
"768","Phapitreron a oreillons blancs"
"771","Phapitreron amethyste"
"774","Phapitreron a oreillons bruns"
"775","Phapitreron de Tawi-Tawi"
"776","Colombar a cou roux"
"777","Colombar odorifere"
"778","Colombar giouanne"
"779","Colombar a double collier"
"780","Colombar de Phayre"
"781","Colombar des Ghats"
"782","Colombar pompadour"
"783","Colombar des Andaman"
"784","Colombar des Philippines"
"785","Colombar de Buru"
"786","Colombar a gros bec"
"787","Colombar a face grise"
"788","Colombar de Sumba"
"789","Colombar de Flores"
"790","Colombar unicolore"
"791","Colombar de Capelle"
"792","Colombar commandeur"
"793","Colombar waalia"
"794","Colombar des Comores"
"795","Colombar maitsou"
"796","Colombar a front nu"
"798","Colombar de Pemba"
"799","Colombar de Sao Tome"
"800","Colombar a longue queue"
"801","Colombar a queue pointue"
"802","Colombar de Seimund"
"803","Colombar chanteur"
"804","Colombar de Siebold"
"806","Colombar de Formose"
"807","Carpophage a ventre rose"
"808","Carpophage de Forsten"
"809","Carpophage de Mindoro"
"810","Carpophage a queue barree"
"811","Carpophage de Charlotte"
"812","Carpophage de Pauline"
"814","Carpophage a lunettes"
"815","Carpophage de Ceram"
"816","Carpophage a queue bleue"
"817","Carpophage pacifique"
"818","Carpophage de Micronesie"
"819","Carpophage de la Societe"
"820","Carpophage des Marquises"
"821","Carpophage a cire rouge"
"822","Carpophage cuivre"
"824","Carpophage a ventre roux"
"825","Carpophage des Moluques"
"827","Carpophage de Finsch"
"828","Carpophage brillant"
"829","Carpophage meunier"
"830","Carpophage a tete rose"
"831","Carpophage de Wharton"
"832","Carpophage de Pickering"
"833","Carpophage de Peale"
"834","Carpophage de Brenchley"
"835","Carpophage de Baker"
"836","Carpophage geant"
"837","Carpophage de Pinon"
"839","Carpophage noir"
"840","Carpophage de Müller"
"841","Carpophage de Zoe"
"843","Carpophage a manteau brun"
"844","Carpophage mantele"
"845","Carpophage cendrillon"
"846","Carpophage blanc"
"847","Carpophage argente"
"848","Carpophage jaunatre"
"849","Carpophage luctuose"
"862","Founingo bleu"
"863","Founingo des Comores"
"864","Founingo rougecap"
"865","Ptilope vlouvlou"
"869","Ptilope nain"
"870","Ptilope de Ripley"
"871","Ptilope turgris"
"872","Ptilope a ceinture"
"873","Ptilope de l'Alligator"
"874","Ptilope de Sumba"
"875","Ptilope porphyre"
"877","Ptilope superbe"
"878","Ptilope de Rivoli"
"880","Ptilope des Salomon"
"881","Ptilope de Tanna"
"882","Ptilope hyogastre"
"883","Ptilope caroncule"
"884","Ptilope de Wallace"
"885","Ptilope a front d'or"
"886","Ptilope orne"
"888","Ptilope perle"
"889","Ptilope a ventre orange"
"890","Ptilope casque"
"891","Ptilope turvert"
"892","Ptilope d'Eugenie"
"893","Ptilope mignon"
"894","Ptilope moine"
"895","Ptilope a couronne lilas"
"896","Ptilope a diademe"
"897","Ptilope de Dupetit-Thouars"
"898","Ptilope des Palau"
"899","Ptilope de Richards"
"900","Ptilope des Mariannes"
"901","Ptilope de Pohnpei"
"902","Ptilope de Kosrae"
"903","Ptilope de Grey"
"904","Ptilope de Clementine"
"906","Ptilope de La Perouse"
"907","Ptilope de Hutton"
"908","Ptilope de Henderson"
"909","Ptilope de Makatea"
"910","Ptilope des Tuamotu"
"912","Ptilope de Rarotonga"
"913","Ptilope de la Societe"
"914","Carpophage de Nouvelle-Zelande"
"915","Carpophage des Chatham"
"916","Carpophage des Celebes"
"917","Carpophage de d'Albertis"
"918","Carpophage de Stalker"
"919","Carpophage du Mada"
"920","Carpophage des Salomon"
"921","Carpophage a double huppe"
"922","Syrrhapte paradoxal"
"923","Syrrhapte du Tibet"
"924","Ganga unibande"
"925","Ganga namaqua"
"926","Ganga a ventre brun"
"927","Ganga tachete"
"928","Ganga a gorge jaune"
"929","Ganga masque"
"930","Ganga couronne"
"931","Ganga cata"
"932","Ganga de Burchell"
"933","Ganga a face noire"
"934","Ganga bibande"
"935","Ganga quadribande"
"936","Ganga de Lichtenstein"
"937","Ganga indien"
"938","Guacharo des cavernes"
"939","Podarge des Salomon"
"940","Podarge ocelle"
"941","Podarge papou"
"942","Podarge gris"
"943","Podarge oreillard"
"944","Podarge de Hartert"
"945","Podarge des Philippines"
"946","Podarge etoile"
"947","Podarge de Ceylan"
"948","Podarge de Hodgson"
"949","Podarge a tete grise"
"950","Podarge de Borneo"
"951","Podarge de Java"
"952","Podarge cornu"
"953","Grand Ibijau"
"954","Ibijau a longue queue"
"955","Ibijau jamaicain"
"956","Ibijau gris"
"957","Ibijau des Andes"
"958","Ibijau a ailes blanches"
"960","Engoulevent argus"
"961","Engoulevent moustac"
"962","Engoulevent des Salomon"
"963","Engoulevent caledonien"
"964","Engoulevent satanique"
"965","Engoulevent d'Archbold"
"966","Engoulevent papou"
"967","Engoulevent oreillard"
"968","Engoulevent de Temminck"
"969","Engoulevent a nuque rousse"
"970","Engoulevent nacunda"
"971","Engoulevent nain"
"972","Engoulevent d'Amerique"
"973","Engoulevent piramidig"
"974","Engoulevent minime"
"975","Engoulevent sable"
"976","Engoulevent a queue courte"
"977","Engoulevent a ventre roux"
"978","Engoulevent leucopyge"
"979","Engoulevent du Bahia"
"980","Engoulevent noiratre"
"981","Engoulevent pygmee"
"983","Engoulevent de Tschudi"
"984","Engoulevent a miroir"
"985","Engoulevent pauraque"
"986","Engoulevent d'Anthony"
"987","Engoulevent a faucilles"
"988","Engoulevent a ailes blanches"
"989","Engoulevent a queue d'aronde"
"990","Engoulevent lyre"
"991","Engoulevent de Todd"
"992","Engoulevent des bois"
"993","Engoulevent du Roraima"
"994","Engoulevent de Guyane"
"995","Engoulevent trifide"
"996","Engoulevent a queue en ciseaux"
"997","Engoulevent core"
"998","Engoulevent a queue etoilee"
"999","Engoulevent a traine"
"1000","Engoulevent de Jamaique"
"1001","Engoulevent grouillecor"
"1002","Engoulevent du Choco"
"1003","Engoulevent azteque"
"1004","Engoulevent du Yucatan"
"1005","Engoulevent ocelle"
"1006","Engoulevent de Nuttall"
"1007","Engoulevent bois-pourri"
"1008","Engoulevent d'Arizona"
"1009","Engoulevent de Porto Rico"
"1010","Engoulevent montagnard"
"1011","Engoulevent de Ridgway"
"1012","Engoulevent de Salvin"
"1013","Engoulevent maya"
"1014","Engoulevent a queue de soie"
"1015","Engoulevent de Caroline"
"1016","Engoulevent roux"
"1017","Engoulevent peut-on-voir"
"1019","Engoulevent a collier roux"
"1020","Engoulevent de jungle"
"1021","Engoulevent jotaka"
"1022","Engoulevent des Palau"
"1023","Engoulevent d'Europe"
"1024","Engoulevent sombre"
"1025","Engoulevent a joues rousses"
"1026","Engoulevent du desert"
