species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
mexpar2,avibase-10F522EE,12417,issf,Mexican Parrotlet (Mexican),Toui du Mexique (cyanopygius),Forpus cyanopygius cyanopygius,fr
mexpar3,avibase-1F1CCA33,12418,issf,Mexican Parrotlet (Tres Marias Is.),Toui du Mexique (insularis),Forpus cyanopygius insularis,fr
buwpar1,avibase-1694FBFF,12419,species,Turquoise-winged Parrotlet,Toui de Spengel,Forpus spengeli,fr
buwpar2,avibase-64C68E69,12420,species,Riparian Parrotlet,Toui a gros bec,Forpus crassirostris,fr
buwpar3,avibase-B07EFFE6,12421,species,Cobalt-rumped Parrotlet,Toui de Spix,Forpus xanthopterygius,fr
grrpar1,avibase-E43CCCA6,12422,species,Green-rumped Parrotlet,Toui ete,Forpus passerinus,fr
spepar1,avibase-44585D05,12428,species,Spectacled Parrotlet,Toui a lunettes,Forpus conspicillatus,fr
pacpar2,avibase-2A07367C,12432,species,Pacific Parrotlet,Toui celeste,Forpus coelestis,fr
yefpar2,avibase-E5C9870D,12433,species,Yellow-faced Parrotlet,Toui a tete jaune,Forpus xanthops,fr
forpus1,avibase-69161781,12434,spuh,Forpus sp.,Forpus sp.,Forpus sp.,fr
blhpar4,avibase-C0827011,12435,species,Black-headed Parrot,Maipouri a tete noire,Pionites melanocephalus,fr
whbpar1,avibase-7FEDAAAB,12438,species,White-bellied Parrot,Maipouri a ventre blanc,Pionites leucogaster,fr
whbpar2,avibase-24CCA473,12439,issf,White-bellied Parrot (Black-legged),Maipouri a ventre blanc (xanthomerius),Pionites leucogaster xanthomerius,fr
whbpar3,avibase-9456EA1A,12440,issf,White-bellied Parrot (Yellow-tailed),Maipouri a ventre blanc (xanthurus),Pionites leucogaster xanthurus,fr
whbpar4,avibase-37377F33,12441,issf,White-bellied Parrot (Green-thighed),Maipouri a ventre blanc (leucogaster),Pionites leucogaster leucogaster,fr
