,keyword,en_count,en_mean
2159,Rufous Sibia,1686,7.56
2160,Rufous Songlark,1612,7.23
2161,Rufous Treepie,4497,20.17
2162,Rufous Whistler,2536,11.37
2163,Rufous Woodpecker,1639,7.35
2164,Rufous Wren,2111,9.47
2165,Russet Sparrow,1521,6.82
2166,Rustic Bunting,3543,15.89
2167,Rusty Blackbird,5674,25.44
2168,Rusty Sparrow,2382,10.68
2169,Sabine's Gull,1774,7.96
2170,Sabota Lark,320,1.43
2171,Sacred Kingfisher,2338,10.48
2172,Sad Flycatcher,707,3.17
2173,Saddlebill,1285,5.76
2174,Saffron Finch,3874,17.37
2175,Saffron Toucanet,719,3.22
2176,Sage Grouse,6174,27.69
2177,Sage Thrasher,2024,9.08
2178,Sagebrush Sparrow,2065,9.26
2179,Saker Falcon,4395,19.71
2180,Salmon-crested Cockatoo,1941,8.70
2181,Saltmarsh Sparrow,1762,7.90
2182,San Lucas Robin,1820,8.16
2183,Sand Lark,1645,7.38
2184,Sanderling,7193,32.26
2185,Sandwich Tern,4686,21.01
2186,Santa Marta Parakeet,604,2.71
2187,Sapayoa,705,3.16
2188,Satin Bowerbird,4096,18.37
2189,Satin Flycatcher,605,2.71
2190,Satyr Tragopan,3581,16.06
2191,Savanna Hawk,2330,10.45
2192,Savanna Nightjar,1330,5.96
2193,Savannah Sparrow,4360,19.55
2194,Savi's Warbler,489,2.19
2195,Saxaul Sparrow,1266,5.68
2196,Say's Phoebe,6906,30.97
2197,Scaled Quail,2768,12.41
2198,Scaly-breasted Munia,1460,6.55
2199,Scaly Thrush,4828,21.65
2200,Scarlet-backed Flowerpecker,2075,9.30
2201,Scarlet-headed Flowerpecker,416,1.87
2202,Scarlet Finch,3296,14.78
2203,Scarlet Ibis,6488,29.09
2204,Scarlet Macaw,6052,27.14
2205,Scarlet Minivet,3734,16.74
2206,Scarlet Myzomela,1161,5.21
2207,Scarlet Robin,6809,30.53
2208,Scarlet Tanager,1990,8.92
2209,Scissor-tailed Flycatcher,2155,9.66
2210,Scott's Oriole,1327,5.95
2211,Scottish Crossbill,1102,4.94
2212,Screaming Cowbird,630,2.83
2213,Screaming Piha,2075,9.30
2214,Scrubtit,658,2.95
2215,Seaside Sparrow,2491,11.17
2216,Secretarybird,1676,7.52
2217,Sedge Warbler,3115,13.97
2218,Sedge Wren,2748,12.32
2219,Semipalmated Plover,3636,16.30
2220,Semipalmated Sandpiper,4510,20.22
2221,Senegal Parrot,5754,25.80
2222,Seven-colored Tanager,187,0.84
2223,Seychelles Kestrel,759,3.40
2224,Seychelles Parrot,2033,9.12
2225,Seychelles Warbler,1035,4.64
2226,Sharp-shinned Hawk,3149,14.12
2227,Sharp-tailed Grouse,2393,10.73
2228,Sharp-tailed Sandpiper,1799,8.07
2229,Sharpbill,2711,12.16
2230,Shikra,7326,32.85
2231,Shining Honeycreeper,411,1.84
2232,Shiny Cowbird,1711,7.67
2233,Shoebill,2254,10.11
2234,Shore Plover,2376,10.65
2235,Short-billed Dowitcher,1346,6.04
2236,Short-eared Owl,2850,12.78
2237,Short-tailed Albatross,1781,7.99
2238,Short-tailed Parrot,252,1.13
2239,Short-tailed Shearwater,1204,5.40
2240,Shy Albatross,1083,4.86
2241,Siamese Fireback,2017,9.04
2242,Siberian Accentor,351,1.57
2243,Siberian Blue Robin,1928,8.65
2244,Siberian Chiffchaff,2612,11.71
2245,Siberian Crane,6201,27.81
2246,Siberian Jay,3327,14.92
2247,Siberian Rubythroat,1975,8.86
2248,Siberian Thrush,1180,5.29
2249,Siberian Tit,1197,5.37
2250,Sichuan Partridge,805,3.61
2251,Sickle-billed Vanga,479,2.15
2252,Sierra Madre Ground-warbler,123,0.55
2253,Silver-backed Tanager,222,1.00
2254,Silver-breasted Broadbill,1269,5.69
2255,Silver-eared Mesia,621,2.78
2256,Silver Gull,6263,28.09
2257,Silver Oriole,2608,11.70
2258,Silver Pheasant,7219,32.37
2259,Silver Teal,9881,44.31
2260,Silverbird,9246,41.46
2261,Silvereye,5844,26.21
2262,Silvery Pigeon,800,3.59
2263,Sinai Rosefinch,1266,5.68
2264,Sinaloa Martin,3727,16.71
2265,Sinaloa Wren,899,4.03
2266,Sind Sparrow,1013,4.54
2267,Singing Honeyeater,3281,14.71
2268,Singing Quail,4303,19.30
2269,Singing Starling,1538,6.90
2270,Sinu Parakeet,321,1.44
2271,Sira Barbet,238,1.07
2272,Sirkeer Malkoha,2559,11.48
2273,Slaty-backed Gull,1165,5.22
2274,Slaty-legged Crake,746,3.35
2275,Slaty Bristlefront,114,0.51
2276,Slaty Egret,453,2.03
2277,Slender-billed Curlew,267.5,1.20
2278,Slender-billed Vulture,1070,4.80
2279,Small-billed Elaenia,509,2.28
2280,Small Minivet,2359,10.58
2281,Smew,5828,26.13
2282,Smoky Honeyeater,352,1.58
2283,Smoky Robin,4352,19.52
2284,Smooth-billed Ani,728,3.26
2285,Snail Kite,2521,11.30
2286,Snares Penguin,2246,10.07
2287,Snoring Rail,1180,5.29
2288,Snow-capped Manakin,142,0.64
2289,Snow Bunting,5251,23.55
2290,Snow Goose,7253,32.52
2291,Snow Partridge,4776,21.42
2292,Snow Petrel,2017,9.04
2293,Snow Pigeon,3587,16.09
2294,Snowcap,8455,37.91
2295,Snowy Egret,4400,19.73
2296,Snowy Owl,8078,36.22
2297,Snowy Plover,3427,15.37
2298,Snowy Sheathbill,1520,6.82
2299,Sociable Lapwing,1320,5.92
2300,Sociable Weaver,2441,10.95
2301,Social Flycatcher,1211,5.43
2302,Socorro Dove,2012,9.02
2303,Socorro Mockingbird,445,2.00
2304,Socotra Cormorant,1392,6.24
2305,Soft-plumaged Petrel,521,2.34
2306,Solitary Sandpiper,4662,20.91
2307,Solitary Snipe,558,2.50
2308,Somali Ostrich,1692,7.59
2309,Somali Pigeon,1563,7.01
2310,Sombre Tit,567,2.54
2311,Song Parrot,6692,30.01
2312,Song Sparrow,8196,36.75
2313,Song Thrush,6061,27.18
2314,Song Wren,4631,20.77
2315,Sooty-headed Bulbul,1450,6.50
2316,Sooty Albatross,1860,8.34
2317,Sooty Falcon,1862,8.35
2318,Sooty Grouse,4700,21.08
2319,Sooty Gull,1427,6.40
2320,Sooty Oystercatcher,1400,6.28
2321,Sooty Shearwater,2867,12.86
2322,Sooty Tern,3145,14.10
2323,Sora,13562,60.82
2324,South African Shelduck,584,2.62
2325,South African Swallow,1676,7.52
2326,South Georgia Pipit,900,4.04
2327,South Island Kokako,907,4.07
2328,South Island Robin,3465,15.54
2329,South Island Saddleback,265,1.19
2330,South Island Takahe,724,3.25
2331,South Polar Skua,1698,7.61
2332,Southern Boobook,2874,12.89
2333,Southern Boubou,868,3.89
2334,Southern Brown Kiwi,562,2.52
2335,Southern Caracara,2614,11.72
2336,Southern Carmine Bee-eater,2495,11.19
2337,Southern Cassowary,3405,15.27
2338,Southern Fulmar,779,3.49
2339,Southern Giant Petrel,1761,7.90
2340,Southern Ground-hornbill,440,1.97
2341,Southern Lapwing,2296,10.30
2342,Southern Martin,8406,37.70
2343,Southern Masked Weaver,1043,4.68
2344,Southern Mealy Amazon,463,2.08
2345,Southern Red Bishop,2243,10.06
2346,Southern Rockhopper Penguin,5134,23.02
2347,Southern Royal Albatross,2122,9.52
2348,Southern Screamer,1566,7.02
2349,Southern Swift,8363,37.50
2350,Southern White-faced Owl,1861,8.35
2351,Southern Yellow-billed Hornbill,2592,11.62
2352,Spangled Coquette,643,2.88
2353,Spangled Cotinga,1089,4.88
2354,Spangled Drongo,2607,11.69
2355,Spanish Imperial Eagle,2766,12.40
2356,Spanish Sparrow,4895,21.95
2357,Speckled Hummingbird,1771,7.94
2358,Speckled Mousebird,1505,6.75
2359,Speckled Pigeon,2395,10.74
2360,Speckled Tanager,917,4.11
2361,Speckled Warbler,1152,5.17
2362,Spectacled Eider,2912,13.06
2363,Spectacled Flowerpecker,402,1.80
2364,Spectacled Owl,3080,13.81
2365,Spectacled Parrotlet,998,4.48
2366,Spectacled Tyrant,941,4.22
2367,Spectacled Weaver,504,2.26
2368,Spinifex Pigeon,2607,11.69
2369,Spix's Macaw,1428,6.40
2370,Splendid Fairy-wren,783,3.51
2371,Splendid Sunbird,584,2.62
2372,Spoon-billed Sandpiper,2347,10.52
2373,Spot-bellied Eagle-owl,1518,6.81
2374,Spot-billed Pelican,951,4.26
2375,Spotless Crake,950,4.26
2376,Spotless Starling,1370,6.14
2377,Spotted Buttonquail,405,1.82
2378,Spotted Crake,2031,9.11
2379,Spotted Eagle-owl,1784,8.00
2380,Spotted Flycatcher,4052,18.17
2381,Spotted Harrier,1292,5.79
2382,Spotted Kingfisher,2492,11.17
2383,Spotted Owl,5310,23.81
2384,Spotted Owlet,3586,16.08
2385,Spotted Pardalote,2831,12.70
2386,Spotted Rail,3319,14.88
2387,Spotted Redshank,3416,15.32
2388,Spotted Sandpiper,4077,18.28
