,keyword,mean
483,Brown Bullfinch,7.304932735
484,Brown Dipper,16.32735426
485,Brown Falcon,25.22869955
486,Brown Goshawk,8.704035874
487,Brown Honeyeater,7.928251121
488,Brown Inca,12.78026906
489,Brown Jay,17.69058296
490,Brown Lory,10.38116592
491,Brown Noddy,13.5426009
492,Brown Oriole,12.48430493
493,Brown Parrot,36.38565022
494,Brown Pelican,18.632287
495,Brown Quail,20.95067265
496,Brown Shrike,12.85201794
497,Brown Skua,10.32286996
498,Brown Tanager,7.811659193
499,Brown Teal,61.61883408
500,Brown Thornbill,8.99103139
501,Brown Thrasher,25.08520179
502,Brown Treecreeper,5.677130045
503,Brown Trembler,0.946188341
504,Brown Whistler,13.73542601
505,Brubru,14.26457399
506,Brush Bronzewing,4.197309417
507,Brush Cuckoo,5.408071749
508,Budgerigar,27.51121076
509,Buff-banded Rail,3.367713004
510,Buff-bellied Pipit,3.596412556
511,Buff-breasted Sandpiper,6.367713004
512,Buff-collared Nightjar,1.641255605
513,Buff-faced Pygmy-parrot,3.704035874
514,Bufflehead,46.53811659
515,Bugun Liocichla,1.14573991
516,Bull-headed Shrike,4.02690583
517,Buller's Albatross,5.475336323
518,Bullock's Oriole,9.273542601
519,Bumblebee Hummingbird,16.25560538
520,Burrowing Owl,36.82959641
521,Burrowing Parrot,6.529147982
522,Cackling Goose,15.98654709
523,Cactus Wren,27.10313901
524,Calandra Lark,8.708520179
525,Calayan Rail,1.132286996
526,California Condor,29.34080717
527,California Gnatcatcher,11.95964126
528,California Gull,10.66816143
529,California Quail,24.43049327
530,California Thrasher,15.40358744
531,California Towhee,19.71300448
532,Calliope Hummingbird,18.04035874
533,Cambodian Laughingthrush,1.964125561
534,Cambodian Tailorbird,1.197309417
535,Campbell Teal,11.71300448
536,Campo Flicker,2.847533632
537,Campo Troupial,5.896860987
538,Canada Goose,18.1793722
539,Canada Warbler,22.74887892
540,Canvasback,53.27802691
541,Canyon Wren,17.0941704
542,Cape Barren Goose,11.32286996
543,Cape Bulbul,16.4529148
544,Cape Bunting,8.399103139
545,Cape Canary,37.5470852
546,Cape Cormorant,5.246636771
547,Cape Crow,25.37219731
548,Cape Gannet,13.50672646
549,Cape May Warbler,4.219730942
550,Cape Parrot,25.51121076
551,Cape Petrel,13.78026906
552,Cape Sparrow,12.47085202
553,Cape Starling,9.291479821
554,Cape Sugarbird,7.466367713
555,Cape Teal,13.38116592
556,Cape Vulture,17.0896861
557,Cape Wagtail,7.206278027
558,Cape Weaver,15.17488789
559,Cape White-eye,3.130044843
560,Capped Heron,11.38565022
561,Capuchinbird,2.910313901
562,Cardinal Woodpecker,28.03587444
563,Carib Grackle,8.878923767
564,Caribbean Dove,25.48430493
565,Caribbean Martin,33.08071749
566,Carolina Chickadee,28.98654709
567,Carolina Wren,25.57847534
568,Carrion Crow,29.85201794
569,Carunculated Caracara,5.331838565
570,Caspian Gull,11.02242152
571,Caspian Plover,7.224215247
572,Caspian Tern,27.98206278
573,Caspian Tit,4.551569507
574,Cassin's Auklet,4.452914798
575,Cassin's Finch,3.995515695
576,Cassin's Vireo,4.843049327
577,Cattle Egret,37.33183857
578,Cattle Tyrant,3.65470852
579,Cave Swallow,13.9955157
580,Cave Swiftlet,4.273542601
581,Cebu Flowerpecker,6.771300448
582,Cedar Waxwing,38.53363229
583,Cerulean Warbler,17.08071749
584,Cetti's Warbler,3.578475336
585,Chaco Owl,5.775784753
586,Chalk-browed Mockingbird,3.237668161
587,Channel-billed Cuckoo,6.188340807
588,Channel-billed Toucan,6.358744395
589,Chatham Albatross,8.807174888
590,Chatham Petrel,3.686098655
591,Chatham Pigeon,8.080717489
592,Chattering Lory,13.59192825
593,Cheer Pheasant,7.807174888
594,Chestnut-backed Chickadee,7.443946188
595,Chestnut-breasted Mannikin,0.874439462
596,Chestnut-breasted Partridge,1.062780269
597,Chestnut-crowned Babbler,2.69058296
598,Chestnut-eared Bunting,0.721973094
599,Chestnut-headed Bee-eater,3.394618834
600,Chestnut-sided Warbler,7.65470852
601,Chestnut-tailed Starling,7.161434978
602,Chestnut Bunting,4.950672646
603,Chestnut Munia,1.668161435
604,Chestnut Rail,17.87443946
605,Chestnut Sparrow,9.878923767
606,Chestnut Teal,15.07623318
607,Chestnut Thrush,12.15695067
608,Chestnut Weaver,9.206278027
609,Chestnut Woodpecker,3.730941704
610,Chihuahuan Raven,7.883408072
611,Chilean Flamingo,8.071748879
612,Chilean Tinamou,4.798206278
613,Chiloe Wigeon,4.443946188
614,Chimango Caracara,4.147982063
615,Chiming Wedgebill,5.506726457
616,Chimney Swift,27.03587444
617,Chinese Blackbird,13.21076233
618,Chinese Crested Tern,2.964125561
619,Chinese Egret,8.735426009
620,Chinese Francolin,4.201793722
621,Chinese Grouse,13.30493274
622,Chinese Monal,5.686098655
623,Chinese Sparrowhawk,15.24215247
624,Chinese Thrush,24.1838565
625,Chinstrap Penguin,19.80717489
626,Chipping Sparrow,22.26457399
627,Chopi Blackbird,2.30044843
628,Chowchilla,38.38116592
629,Christmas Island Frigatebird,6.686098655
630,Chukar,58.67713004
631,Cinderella Waxbill,5.201793722
632,Cinereous Bulbul,3.928251121
633,Cinereous Bunting,5.071748879
634,Cinereous Mourner,4.322869955
635,Cinereous Vulture,12.12556054
636,Cinnamon Bittern,4.533632287
637,Cinnamon Hummingbird,9.439461883
638,Cinnamon Teal,30.26008969
639,Cirl Bunting,15.73991031
640,Citril Finch,4.385650224
641,Citrine Wagtail,11.2690583
642,Clapper Rail,21.97309417
643,Clark's Grebe,6.739910314
644,Clark's Nutcracker,16.34080717
645,Clay-colored Sparrow,6.466367713
646,Clay-colored Thrush,5.426008969
647,Cliff Swallow,32.23766816
648,Club-winged Manakin,1.883408072
649,Coal Tit,16.53811659
650,Cockatiel,47.13452915
651,Cocoi Heron,7.573991031
652,Coconut Lorikeet,5.65470852
653,Coleto,41.75784753
654,Colima Warbler,4.69955157
655,Collared Crow,6.34529148
656,Collared Falconet,6.233183857
657,Collared Flycatcher,13.06726457
658,Collared Inca,3.820627803
659,Collared Kingfisher,18.66816143
660,Collared Lory,3.686098655
661,Collared Nightjar,1.892376682
662,Collared Owlet,9.847533632
663,Collared Plover,5.995515695
664,Collared Pratincole,4.67264574
665,Collared Puffbird,4.040358744
666,Collared Sparrowhawk,9.206278027
667,Collared Sunbird,8.506726457
