,species,gbif_mean,gbif_sum
597,Anser brachyrhynchus,13570.9,257847
598,Anser caerulescens x canagicus,1.3,9
599,Anser caerulescens x rossii,4.8,29
600,Anser canagicus x anser,2.0,4
601,Anser canagicus x Branta leucopsis,1.5,9
602,Anser cygnoid,38.2,726
603,Anser cygnoides,727.2,13816
604,Anser cygnoides x anser,1.3,9
605,Anser cygnoides x Branta canadensis,4.7,75
606,Anser cygnoides x indicus,1.7,5
607,Anser erythropus,1752.9,33306
608,Anser erythropus x Branta leucopsis,54.0,1026
609,Anser fabalis,13636.9,259102
610,Anser fabalis x anser,2.9,26
611,Anser fabalis x indicus,1.5,3
612,Anser indicus,3821.5,72608
613,Anser indicus x Branta leucopsis,9.0,144
614,Anser indicus x caerulescens,3.9,27
615,Anser serrirostris,2858.7,54315
616,Anseranas semipalmata,4205.5,79905
617,Anthipes monileger,119.4,2269
618,Anthipes solitaris,122.5,2327
619,Anthobaphes violacea,878.8,16698
620,Anthocephala berlepschi,49.4,889
621,Anthocephala floriceps,57.6,1095
622,Anthochaera carunculata,33721.6,640711
623,Anthochaera chrysoptera,10103.1,191959
624,Anthochaera lunulata,587.1,11155
625,Anthochaera paradoxa,997.1,18944
626,Anthocincla phayrei,22.4,425
627,Anthornis melanura,4420.2,83984
628,Anthoscopus caroli,279.1,5303
629,Anthoscopus flavifrons,11.9,214
630,Anthoscopus minutus,443.5,8426
631,Anthoscopus musculus,54.4,1034
632,Anthoscopus parvulus,26.7,507
633,Anthoscopus punctifrons,5.5,93
634,Anthracoceros albirostris,1814.6,34478
635,Anthracoceros coronatus,691.2,13133
636,Anthracoceros malayanus,346.0,6574
637,Anthracoceros marchei,46.8,843
638,Anthracoceros montani,4.0,4
639,Anthracothorax dominicus,955.3,18150
640,Anthracothorax mango,199.6,3792
641,Anthracothorax nigricollis,3615.5,68694
642,Anthracothorax prevostii,2661.1,50561
643,Anthracothorax veraguensis,101.0,1919
644,Anthracothorax viridigula,82.2,1479
645,Anthracothorax viridis,301.0,5719
646,Anthreptes anchietae,11.9,215
647,Anthreptes aurantius,9.5,162
648,Anthreptes gabonicus,67.7,1286
649,Anthreptes griseigularis,29.4,530
650,Anthreptes longuemarei,81.6,1551
651,Anthreptes malacensis,2036.1,38686
652,Anthreptes neglectus,15.3,276
653,Anthreptes orientalis,225.6,4286
654,Anthreptes rectirostris,115.3,2190
655,Anthreptes reichenowi,43.2,821
656,Anthreptes rhodolaemus,93.9,1784
657,Anthreptes rubritorques,11.6,198
658,Anthreptes seimundi,92.4,1756
659,Anthreptes simplex,214.4,4074
660,Anthropoides paradiseus,2370.6,45041
661,Anthropoides virgo,537.6,10214
662,Anthus antarcticus,53.9,1025
663,Anthus australis,10.4,156
664,Anthus berthelotii,1030.3,19576
665,Anthus bogotensis,177.8,3201
666,Anthus brachyurus,18.0,342
667,Anthus brevirostris,4.2,21
668,Anthus caffer,164.8,3132
669,Anthus campestris,4526.6,86006
670,Anthus cervinus,4463.6,84809
671,Anthus chacoensis,19.6,313
672,Anthus chii,2.3,7
673,Anthus chloris,70.8,1346
674,Anthus cinnamomeus,6846.4,130081
675,Anthus correndera,1395.6,26517
676,Anthus crenatus,203.7,3870
677,Anthus furcatus,113.1,2149
678,Anthus godlewskii,428.7,8145
679,Anthus gustavi,161.6,2908
680,Anthus gutturalis,27.2,381
681,Anthus hellmayri,220.5,4190
682,Anthus hodgsoni,3604.2,68480
683,Anthus hoeschi,37.3,709
684,Anthus leucophrys,1036.2,19688
685,Anthus lineiventris,280.1,5322
686,Anthus longicaudatus,22.8,364
687,Anthus lutescens,994.2,18889
688,Anthus melindae,22.6,429
689,Anthus nattereri,29.9,539
690,Anthus nicholsoni,97.9,1860
691,Anthus nilghiriensis,68.2,1295
692,Anthus novaeseelandiae,7058.6,134114
693,Anthus nyassae,24.9,474
694,Anthus pallidiventris,36.7,624
695,Anthus peruvianus,130.3,2476
696,Anthus petrosus,15522.7,294932
697,Anthus pratensis,86699.4,1647289
698,Anthus pseudosimilis,9.6,77
699,Anthus richardi,2384.5,45306
700,Anthus roseatus,470.7,8943
701,Anthus rubescens,41255.5,783855
702,Anthus rufulus,7336.9,139401
703,Anthus similis,603.6,11468
704,Anthus sokokensis,24.7,469
705,Anthus spinoletta,10043.6,190828
706,Anthus spragueii,1381.8,26254
707,Anthus sylvanus,81.4,1547
