"","family","year","n"
"484","Troglodytidae",2021,3685858
"485","Recurvirostridae",2021,509497
"486","Phylloscopidae",2020,718992
"487","Charadriidae",2020,2101487
"488","Picidae",2014,2652412
"489","Accipitridae",2004,425129
"490","Rallidae",2011,429659
"491","Acrocephalidae",2007,151004
"492","Recurvirostridae",2008,55490
"493","Scolopacidae",2012,1439315
"494","Recurvirostridae",2014,185944
"495","Scolopacidae",2018,3178288
"496","Rallidae",2005,151173
"497","Muscicapidae",2007,455621
"498","Alaudidae",2008,105902
"499","Charadriidae",2005,236802
"500","Gruidae",2017,285745
"501","Sulidae",2008,30232
"502","Emberizidae",2014,3545185
"503","Gruidae",2005,33492
"504","Rallidae",2021,2177128
"505","Muscicapidae",2008,463592
"506","Alcedinidae",2015,545466
"507","Acrocephalidae",2020,349098
"508","Phylloscopidae",2021,762945
"509","Alcedinidae",2008,131545
"510","Prunellidae",2008,62116
"511","Corvidae",2015,3903347
"512","Locustellidae",2017,49285
"513","Ciconiidae",2016,176631
"514","Fringillidae",2021,8492876
"515","Anatidae",2021,16417007
"516","Alaudidae",2017,390574
"517","Fringillidae",2020,7808838
"518","Laridae",2014,2690688
"519","Scolopacidae",2020,3811188
"520","Turdidae",2021,7257991
"521","Fringillidae",2008,1087141
"522","Corvidae",2007,910584
"523","Turdidae",2008,716652
"524","Rallidae",2012,537849
"525","Phylloscopidae",2008,225170
"526","Laniidae",2007,76405
"527","Ardeidae",2007,466117
"528","Emberizidae",2007,907376
"529","Acrocephalidae",2015,227416
"530","Troglodytidae",2020,3587032
"531","Phasianidae",2006,105638
"532","Phasianidae",2008,144473
"533","Gruidae",2013,156038
"534","Ciconiidae",2015,137808
"535","Turdidae",2005,416867
"536","Meliphagidae",2013,222113
"537","Scolopacidae",2014,1949782
"538","Pellorneidae",2007,4846
"539","Paridae",2008,872381
"540","Procellariidae",2010,59453
"541","Spheniscidae",2012,65786
"542","Psittacidae",2013,290943
"543","Diomedeidae",2006,27606
"544","Mimidae",2004,89150
"545","Parulidae",2004,324848
"546","Icteridae",2007,433203
"547","Icteridae",2006,353603
"548","Corvidae",2006,661612
"549","Furnariidae",2006,24511
"550","Cotingidae",2007,11001
"551","Threskiornithidae",2006,57064
"552","Furnariidae",2007,31429
"553","Nectariniidae",2004,7591
"554","Rhipiduridae",2007,37205
"555","Parulidae",2006,428982
"556","Alcedinidae",2017,781511
"557","Turdidae",2015,2651852
"558","Parulidae",2005,376414
"559","Ramphastidae",2004,5621
"560","Zosteropidae",2012,48440
"561","Hydrobatidae",2014,19648
"562","Tyrannidae",2015,1893359
"563","Pycnonotidae",2017,331190
"564","Megapodiidae",2004,1930
"565","Fringillidae",2005,699480
"566","Paridae",2005,504024
"567","Troglodytidae",2006,206861
"568","Emberizidae",2005,595235
"569","Spheniscidae",2009,31356
"570","Pellorneidae",2016,24295
"571","Procellariidae",2008,38440
"572","Threskiornithidae",2014,300540
"573","Corvidae",2008,974890
"574","Cathartidae",2006,100192
"575","Pycnonotidae",2007,43599
"576","Emberizidae",2006,726118
"577","Trochilidae",2005,82290
"578","Columbidae",2007,733178
"579","Estrildidae",2010,57409
"580","Nectariniidae",2018,242320
"581","Thraupidae",2011,108131
"582","Furnariidae",2004,22887
"583","Thamnophilidae",2007,19539
"584","Turdidae",2007,691066
"585","Falconidae",2008,251429
"586","Procellariidae",2009,49858
"587","Falconidae",2005,162394
"588","Falconidae",2007,221055
"589","Cisticolidae",2014,137679
"590","Odontophoridae",2004,16397
"591","Odontophoridae",2008,25926
"592","Accipitridae",2005,512955
"593","Odontophoridae",2017,164758
"594","Jacanidae",2011,8948
"595","Spheniscidae",2011,36627
"596","Spheniscidae",2010,12025
"597","Ciconiidae",2011,64246
"598","Vireonidae",2004,73585
"599","Trochilidae",2008,140673
"600","Thraupidae",2005,55679
"601","Donacobiidae",2007,441
"602","Tyrannidae",2006,259391
"603","Passeridae",2006,224847
"604","Tyrannidae",2007,306402
"605","Spheniscidae",2006,7172
"606","Thraupidae",2006,53164
"607","Columbidae",2005,460312
"608","Nectariniidae",2010,39817
"609","Pycnonotidae",2009,61991
"610","Procellariidae",2014,83896
"611","Locustellidae",2005,17804
"612","Cardinalidae",2005,194565
"613","Alcedinidae",2006,91766
"614","Nectariniidae",2006,11451
"615","Cotingidae",2004,8353
"616","Leiothrichidae",2014,38691
"617","Pycnonotidae",2014,119818
"618","Struthionidae",2010,2972
"619","Tyrannidae",2005,220908
"620","Thraupidae",2007,67450
"621","Muscicapidae",2004,264852
"622","Odontophoridae",2009,33827
"623","Maluridae",2013,44365
"624","Phasianidae",2004,75660
"625","Gruidae",2012,138836
"626","Phasianidae",2014,336044
"627","Momotidae",2012,8503
"628","Furnariidae",2005,25142
"629","Polioptilidae",2005,22902
"630","Mimidae",2017,1430051
"631","Dicaeidae",2017,62227
