"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"2406","Black-chinned x Anna's Hummingbird (hybrid)","Hybride Colibri a gorge noire x C. d'Anna","Archilochus alexandri x Calypte anna","Colibri Gorjinegro x de Anna (hibrido)",NA,NA,NA,NA,NA,NA
"2407","Costa's Hummingbird","Colibri de Costa","Calypte costae","Colibri de Costa",1981,8.88,4252,19.15,4250,19.14
"2408","Lucifer x Costa's Hummingbird (hybrid)","Hybride Colibri lucifer x C. de Costa","Calothorax lucifer x Calypte costae","Colibri Luminoso x de Costa (hibrido)",NA,NA,NA,NA,NA,NA
"2409","Black-chinned x Costa's Hummingbird (hybrid)","Hybride Colibri a gorge noire x C. de Costa","Archilochus alexandri x Calypte costae","Colibri Gorjinegro x de Costa (hibrido)",NA,NA,NA,NA,NA,NA
"2410","Anna's x Costa's Hummingbird (hybrid)","Hybride Colibri d'Anna x C. de Costa","Calypte anna x costae","Colibri de Anna x de Costa (hibrido)",NA,NA,NA,NA,NA,NA
"2411","Anna's/Costa's Hummingbird","Colibri d'Anna ou C. de Costa","Calypte anna/costae","Colibri de Anna/de Costa",NA,NA,NA,NA,NA,NA
"2412","Calliope Hummingbird","Colibri calliope","Selasphorus calliope","Colibri Caliope",4023,18.04,NA,NA,NA,NA
"2413","Black-chinned x Calliope Hummingbird (hybrid)","Hybride Colibri a gorge noire x C. calliope","Archilochus alexandri x Selasphorus calliope","Colibri Gorjinegro x Caliope (hibrido)",NA,NA,NA,NA,NA,NA
"2414","Anna's x Calliope Hummingbird (hybrid)","Hybride Colibri d'Anna x C. calliope","Calypte anna x Selasphorus calliope","Colibri de Anna x Caliope (hibrido)",NA,NA,NA,NA,NA,NA
"2415","Rufous Hummingbird","Colibri roux","Selasphorus rufus","Colibri Rufo",2577,11.56,714,3.22,172,0.77
"2416","Black-chinned x Rufous Hummingbird (hybrid)","Hybride Colibri a gorge noire x C. roux","Archilochus alexandri x Selasphorus rufus","Colibri Gorjinegro x Rufo (hibrido)",NA,NA,NA,NA,NA,NA
"2417","Anna's x Rufous Hummingbird (hybrid)","Hybride Colibri d'Anna x C. roux","Calypte anna x Selasphorus rufus","Colibri de Anna x Rufo (hibrido)",NA,NA,NA,NA,NA,NA
"2418","Calliope x Rufous Hummingbird (hybrid)","Hybride Colibri calliope x C. roux","Selasphorus calliope x rufus","Colibri Caliope x Rufo (hibrido)",NA,NA,NA,NA,NA,NA
"2419","Allen's Hummingbird","Colibri d'Allen","Selasphorus sasin","Colibri de Allen",1354,6.07,NA,NA,NA,NA
"2420","Anna's x Allen's Hummingbird (hybrid)","Hybride Colibri d'Anna x C. d'Allen","Calypte anna x Selasphorus sasin","Colibri de Anna x de Allen (hibrido)",NA,NA,NA,NA,NA,NA
"2421","Rufous x Allen's Hummingbird (hybrid)","Hybride Colibri roux x c. d'Allen","Selasphorus rufus x sasin","Colibri Rufo x de Allen (hibrido)",NA,NA,NA,NA,NA,NA
"2422","Rufous/Allen's Hummingbird","Colibri roux ou C. d'Allen","Selasphorus rufus/sasin","Colibri Rufo/de Allen",NA,NA,NA,NA,NA,NA
"2423","Broad-tailed Hummingbird","Colibri a queue large","Selasphorus platycercus","Colibri Coliancho",1717,7.7,NA,NA,NA,NA
"2424","Calliope x Broad-tailed Hummingbird (hybrid)","Hybride Colibri calliope x C. a queue large","Selasphorus calliope x platycercus","Colibri Caliope x Coliancho (hibrido)",NA,NA,NA,NA,NA,NA
"2425","Rufous x Broad-tailed Hummingbird (hybrid)","Hybride Colibri roux x C. a queue large","Selasphorus rufus x platycercus","Colibri Rufo x Coliancho (hibrido)",NA,NA,NA,NA,NA,NA
"2426","Bumblebee Hummingbird","Colibri heloise","Selasphorus heloisa","Colibri de Eloisa",3625,16.26,NA,NA,NA,NA
"2427","Wine-throated Hummingbird","Colibri d'Elliot","Selasphorus ellioti","Colibri de Elliot",590,2.65,NA,NA,NA,NA
"2428","Volcano Hummingbird","Colibri flammule","Selasphorus flammula","Colibri Volcanero",1725,7.74,NA,NA,NA,NA
"2429","Volcano Hummingbird (Purple-throated)","Colibri flammule (flammula)","Selasphorus flammula flammula","Colibri Volcanero (flammula)",NA,NA,NA,NA,NA,NA
"2430","Volcano Hummingbird (Heliotrope-throated)","Colibri flammule (torridus)","Selasphorus flammula torridus","Colibri Volcanero (torridus)",NA,NA,NA,NA,NA,NA
"2431","Volcano Hummingbird (Rose-throated)","Colibri flammule (simoni)","Selasphorus flammula simoni","Colibri Volcanero (simoni)",NA,NA,NA,NA,NA,NA
"2432","Scintillant Hummingbird","Colibri scintillant","Selasphorus scintilla","Colibri Centelleante",NA,NA,NA,NA,NA,NA
"2433","Glow-throated Hummingbird","Colibri ardent","Selasphorus ardens","Colibri Ardiente",NA,NA,NA,NA,NA,NA
"2434","Selasphorus sp.","Selasphorus sp.","Selasphorus sp.","Colibri (Selasphorus) sp.",NA,NA,NA,NA,NA,NA
"2435","Anna's Hummingbird x Selasphorus sp. (hybrid)","Hybride Colibri d'Anna x Selasphorus sp.","Calypte anna x Selasphorus sp.","Colibri de Anna x Selasphorus sp. (hibrido)",NA,NA,NA,NA,NA,NA
"2436","Dusky Hummingbird","Colibri sombre","Phaeoptila sordida","Colibri Prieto",NA,NA,NA,NA,NA,NA
"2437","Cuban Emerald","emeraude de Ricord","Riccordia ricordii","Esmeralda Zunzun",2358,10.57,NA,NA,NA,NA
"2438","Brace's Emerald","emeraude de New Providence","Riccordia bracei","Esmeralda de Brace",NA,NA,NA,NA,NA,NA
"2439","Brace's Emerald (Brace's)","emeraude de New Providence (bracei)","Riccordia bracei bracei","Esmeralda de Brace (bracei)",NA,NA,NA,NA,NA,NA
"2440","Brace's Emerald (Caribbean)","emeraude de New Providence (elegans)","Riccordia bracei elegans","Esmeralda de Brace (elegans)",NA,NA,NA,NA,NA,NA
"2441","Hispaniolan Emerald","emeraude d'Hispaniola","Riccordia swainsonii","Esmeralda de La Espanola",NA,NA,NA,NA,NA,NA
"2442","Puerto Rican Emerald","emeraude de Porto Rico","Riccordia maugaeus","Esmeralda Puertorriquena",NA,NA,NA,NA,NA,NA
"2443","Blue-headed Hummingbird","Colibri a tete bleue","Riccordia bicolor","Colibri Bicolor",NA,NA,NA,NA,NA,NA
"2444","Broad-billed Hummingbird","Colibri circe","Cynanthus latirostris","Colibri Piquiancho Comun",1477,6.62,NA,NA,NA,NA
"2445","Broad-billed Hummingbird (Northern)","Colibri circe (groupe latirostris)","Cynanthus latirostris [latirostris Group]","Colibri Piquiancho Comun (grupo latirostris)",NA,NA,NA,NA,NA,NA
"2446","Broad-billed Hummingbird (Tres Marias Is.)","Colibri circe (lawrencei)","Cynanthus latirostris lawrencei","Colibri Piquiancho Comun (lawrencei)",NA,NA,NA,NA,NA,NA
"2447","Black-chinned x Broad-billed Hummingbird (hybrid)","Hybride Colibri a gorge noire x C. circe","Archilochus alexandri x Cynanthus latirostris","Colibri Gorjinegro x Piquiancho Comun (hibrido)",NA,NA,NA,NA,NA,NA
"2448","Anna's x Broad-billed Hummingbird (hybrid)","Hybride Colibri d'Anna x C. circe","Calypte anna x Cynanthus latirostris","Colibri de Anna x Piquiancho Comun (hibrido)",NA,NA,NA,NA,NA,NA
"2449","Turquoise-crowned Hummingbird","Colibri de Doubleday","Cynanthus doubledayi","Colibri Piquiancho de Guerrero",NA,NA,NA,NA,NA,NA
"2450","Broad-billed x Turquoise-crowned Hummingbird (hybrid)","Hybride Colibri circe x C. de Doubleday","Cynanthus latirostris x doubledayi","Colibri Piquiancho Comun x Piquiancho de Guerrero (hibrido)",NA,NA,NA,NA,NA,NA
"2451","Dusky/Turquoise-crowned Hummingbird","Colibri sombre ou C. de Doubleday","Phaeoptila sordida/Cynanthus doubledayi","Colibri Prieto/Piquiancho de Guerrero",NA,NA,NA,NA,NA,NA
"2452","Broad-billed/Turquoise-crowned Hummingbird","Colibri circe ou C. de Doubleday","Cynanthus latirostris/doubledayi","Colibri Piquiancho Comun/Piquiancho de Guerrero",NA,NA,NA,NA,NA,NA
"2453","Golden-crowned Emerald","emeraude couronnee","Cynanthus auriceps","Esmeralda Mexicana",NA,NA,NA,NA,NA,NA
"2454","Cozumel Emerald","emeraude de Cozumel","Cynanthus forficatus","Esmeralda de Cozumel",NA,NA,NA,NA,NA,NA
"2455","Canivet's Emerald","emeraude de Canivet","Cynanthus canivetii","Esmeralda de Canivet",NA,NA,NA,NA,NA,NA
"2456","Canivet's Emerald (Canivet's)","emeraude de Canivet (canivetii)","Cynanthus canivetii canivetii","Esmeralda de Canivet (canivetii)",NA,NA,NA,NA,NA,NA
"2457","Canivet's Emerald (Salvin's)","emeraude de Canivet (salvini/osberti)","Cynanthus canivetii salvini/osberti","Esmeralda de Canivet (salvini/osberti)",NA,NA,NA,NA,NA,NA
"2458","Blue-tailed Emerald","emeraude orvert","Chlorostilbon mellisugus","Esmeralda Coliazul",NA,NA,NA,NA,NA,NA
"2459","Chiribiquete Emerald","emeraude d'Olivares","Chlorostilbon olivaresi","Esmeralda del Chiribiquete",NA,NA,NA,NA,NA,NA
"2460","Red-billed Emerald","emeraude de Gibson","Chlorostilbon gibsoni","Esmeralda Piquirroja",NA,NA,NA,NA,NA,NA
"2461","Glittering-bellied Emerald","emeraude splendide","Chlorostilbon lucidus","Esmeralda Ventridorada",NA,NA,NA,NA,NA,NA
"2462","Short-tailed Emerald","emeraude a queue courte","Chlorostilbon poortmani","Esmeralda Colicorta",NA,NA,NA,NA,NA,NA
"2463","Narrow-tailed Emerald","emeraude a queue etroite","Chlorostilbon stenurus","Esmeralda Colifina",NA,NA,NA,NA,NA,NA
"2464","Green-tailed Emerald","emeraude alice","Chlorostilbon alice","Esmeralda Coliverde",NA,NA,NA,NA,NA,NA
"2465","Coppery Emerald","emeraude cuivree","Chlorostilbon russatus","Esmeralda Bronceada",NA,NA,NA,NA,NA,NA
"2466","Garden Emerald","emeraude du Panama","Chlorostilbon assimilis","Esmeralda Afin",13086,58.68,NA,NA,NA,NA
"2467","Western Emerald","emeraude a bec noir","Chlorostilbon melanorhynchus","Esmeralda Occidental",NA,NA,NA,NA,NA,NA
"2468","Riccordia/Cynanthus/Chlorostilbon sp.","Riccordia, Cynanthus ou Chlorostilbon sp.","Riccordia/Cynanthus/Chlorostilbon sp.","Riccordia/Cynanthus/Chlorostilbon sp.",NA,NA,NA,NA,NA,NA
"2469","White-eared Hummingbird","Colibri a oreilles blanches","Basilinna leucotis","Colibri Orejiblanco",589,2.64,NA,NA,NA,NA
"2470","Xantus's Hummingbird","Colibri de Xantus","Basilinna xantusii","Colibri de Xantus",NA,NA,NA,NA,NA,NA
"2471","Wedge-tailed Sabrewing","Campyloptere pampa","Pampa curvipennis","Colibri Ruisenor",NA,NA,NA,NA,NA,NA
"2472","Wedge-tailed Sabrewing (Curve-winged)","Campyloptere pampa (curvipennis)","Pampa curvipennis curvipennis","Colibri Ruisenor (curvipennis)",NA,NA,NA,NA,NA,NA
"2473","Wedge-tailed Sabrewing (Wedge-tailed)","Campyloptere pampa (pampa)","Pampa curvipennis pampa","Colibri Ruisenor (pampa)",NA,NA,NA,NA,NA,NA
"2474","Long-tailed Sabrewing","Campyloptere de Wetmore","Pampa excellens","Colibri Tuxtleno",NA,NA,NA,NA,NA,NA
"2475","Rufous Sabrewing","Campyloptere roux","Pampa rufa","Colibri Rojizo Mexicano",NA,NA,NA,NA,NA,NA
"2476","Violet-headed Hummingbird","Colibri a tete violette","Klais guimeti","Colibri Cabeciazul",NA,NA,NA,NA,NA,NA
"2477","Emerald-chinned Hummingbird","Colibri d'Abeille","Abeillia abeillei","Colibri de Abeille",NA,NA,NA,NA,NA,NA
"2478","Antillean Crested Hummingbird","Colibri huppe","Orthorhyncus cristatus","Colibri Crestado",1955,8.77,NA,NA,NA,NA
"2479","Antillean Crested Hummingbird (Lesser Antilles)","Colibri huppe (exilis)","Orthorhyncus cristatus exilis","Colibri Crestado (exilis)",NA,NA,NA,NA,NA,NA
"2480","Antillean Crested Hummingbird (St. Vincent)","Colibri huppe (ornatus)","Orthorhyncus cristatus ornatus","Colibri Crestado (ornatus)",NA,NA,NA,NA,NA,NA
"2481","Antillean Crested Hummingbird (Barbados)","Colibri huppe (cristatus)","Orthorhyncus cristatus cristatus","Colibri Crestado (Barbados)",NA,NA,NA,NA,NA,NA
"2482","Antillean Crested Hummingbird (Grenadines and Grenada)","Colibri huppe (emigrans)","Orthorhyncus cristatus emigrans","Colibri Crestado (emigrans)",NA,NA,NA,NA,NA,NA
"2483","Green-crowned Plovercrest","Colibri de Delalande","Stephanoxis lalandi","Colibri Copeton Norteno",NA,NA,NA,NA,NA,NA
"2484","Purple-crowned Plovercrest","Colibri a huppe bleue","Stephanoxis loddigesii","Colibri Copeton Sureno",NA,NA,NA,NA,NA,NA
"2485","Santa Marta Blossomcrown","Colibri a tete rose","Anthocephala floriceps","Colibri Florido de Santa Marta",NA,NA,NA,NA,NA,NA
"2486","Tolima Blossomcrown","Colibri du Tolima","Anthocephala berlepschi","Colibri Florido de Tolima",NA,NA,NA,NA,NA,NA
"2487","Gray-breasted Sabrewing","Campyloptere a ventre gris","Campylopterus largipennis","Colibri Pechigris",NA,NA,NA,NA,NA,NA
"2488","Gray-breasted Sabrewing (largipennis)","Campyloptere a ventre gris (largipennis)","Campylopterus largipennis largipennis","Colibri Pechigris (largipennis)",NA,NA,NA,NA,NA,NA
"2489","Gray-breasted Sabrewing (obscurus)","Campyloptere a ventre gris (obscurus)","Campylopterus largipennis obscurus","Colibri Pechigris (obscurus)",NA,NA,NA,NA,NA,NA
"2490","Outcrop Sabrewing","Campyloptere calcicole","Campylopterus calcirupicola","Colibri de Bosque Seco",NA,NA,NA,NA,NA,NA
"2491","Diamantina Sabrewing","Campyloptere de Diamantina","Campylopterus diamantinensis","Colibri de Diamantina",NA,NA,NA,NA,NA,NA
"2492","Violet Sabrewing","Campyloptere violet","Campylopterus hemileucurus","Colibri Morado",1796,8.05,NA,NA,2953,13.3
"2493","Rufous-breasted Sabrewing","Campyloptere rougeatre","Campylopterus hyperythrus","Colibri Rojizo Venezolano",NA,NA,NA,NA,NA,NA
"2494","Buff-breasted Sabrewing","Campyloptere montagnard","Campylopterus duidae","Colibri del Duida",NA,NA,NA,NA,NA,NA
"2495","Napo Sabrewing","Campyloptere du Napo","Campylopterus villaviscensio","Colibri del Napo",NA,NA,NA,NA,NA,NA
"2496","Lazuline Sabrewing","Campyloptere lazulite","Campylopterus falcatus","Colibri Lazulita",NA,NA,NA,NA,NA,NA
"2497","Santa Marta Sabrewing","Campyloptere de Santa Marta","Campylopterus phainopeplus","Colibri de Santa Marta",NA,NA,NA,NA,NA,NA
"2498","White-tailed Sabrewing","Campyloptere a queue blanche","Campylopterus ensipennis","Colibri Coliblanco",NA,NA,NA,NA,292,1.32
"2499","Bronze-tailed Plumeleteer","Colibri a queue bronzee","Chalybura urochrysia","Colibri Patirrojo",NA,NA,NA,NA,NA,NA
"2500","White-vented Plumeleteer","Colibri de Buffon","Chalybura buffonii","Colibri de Buffon",NA,NA,NA,NA,NA,NA
"2501","White-vented Plumeleteer (White-vented)","Colibri de Buffon (groupe buffonii)","Chalybura buffonii [buffonii Group]","Colibri de Buffon (grupo buffonii)",NA,NA,NA,NA,NA,NA
"2502","White-vented Plumeleteer (Blue-bellied)","Colibri de Buffon (caeruleogaster)","Chalybura buffonii caeruleogaster","Colibri de Buffon (caeruleogaster)",NA,NA,NA,NA,NA,NA
"2503","White-vented Plumeleteer (Ecuadorian)","Colibri de Buffon (intermedia)","Chalybura buffonii intermedia","Colibri de Buffon (Ecuador)",NA,NA,NA,NA,NA,NA
"2504","Violet-capped Woodnymph","Dryade glaucope","Thalurania glaucopis","Zafiro Capirotado",NA,NA,NA,NA,NA,NA
"2505","Long-tailed Woodnymph","Dryade de Waterton","Thalurania watertonii","Zafiro Colilargo",NA,NA,NA,NA,NA,NA
"2506","Crowned Woodnymph","Dryade couronnee","Thalurania colombica","Zafiro Coronado",1308,5.87,NA,NA,NA,NA
"2507","Crowned Woodnymph (Violet-crowned Woodnymph)","Dryade couronnee (forme a couronne violette)","Thalurania colombica (Violet-crowned Woodnymph)","Zafiro Coronado (frente violeta)",NA,NA,NA,NA,NA,NA
"2508","Crowned Woodnymph (Northern Violet-crowned)","Dryade couronnee (venusta/townsendi)","Thalurania colombica venusta/townsendi","Zafiro Coronado (venusta/townsendi)",NA,NA,NA,NA,NA,NA
"2509","Crowned Woodnymph (Colombian Violet-crowned)","Dryade couronnee (colombica/rostrifera)","Thalurania colombica colombica/rostrifera","Zafiro Coronado (colombica/rostrifera)",NA,NA,NA,NA,NA,NA
"2510","Crowned Woodnymph (Green-crowned Woodnymph)","Dryade couronnee (forme a couronne verte)","Thalurania colombica (Green-crowned Woodnymph)","Zafiro Coronado (frente verde)",NA,NA,NA,NA,NA,NA
"2511","Crowned Woodnymph (Northern Green-crowned)","Dryade couronnee (groupe fannyae)","Thalurania colombica [fannyae Group]","Zafiro Coronado (grupo fannyae)",NA,NA,NA,NA,NA,NA
"2512","Crowned Woodnymph (Emerald-bellied)","Dryade couronnee (hypochlora)","Thalurania colombica hypochlora","Zafiro Coronado (hypochlora)",NA,NA,NA,NA,NA,NA
"2513","Fork-tailed Woodnymph","Dryade a queue fourchue","Thalurania furcata","Zafiro Golondrina",NA,NA,NA,NA,NA,NA
"2514","Violet-capped/Fork-tailed Woodnymph","Dryade glaucope ou D. a queue fourchue","Thalurania glaucopis/furcata","Zafiro Capirotado/Golondrina",NA,NA,NA,NA,NA,NA
"2515","Snowcap","Colibri a coiffe blanche","Microchera albocoronata","Colibri Coroniblanco",8455,37.91,NA,NA,NA,NA
"2516","Coppery-headed Emerald","Colibri a tete cuivree","Microchera cupreiceps","Esmeralda Capirotada",210,0.94,NA,NA,NA,NA
"2517","White-tailed Emerald","Colibri elvire","Microchera chionura","Esmeralda de Elvira",NA,NA,NA,NA,NA,NA
"2518","Violet-capped Hummingbird","Colibri a calotte violette","Goldmania violiceps","Colibri de Goldman",NA,NA,NA,NA,NA,NA
"2519","Pirre Hummingbird","Colibri du Pirre","Goldmania bella","Colibri del Pirre",NA,NA,NA,NA,NA,NA
"2520","Mexican Woodnymph","Dryade du Mexique","Eupherusa ridgwayi","Zafiro Mexicano",NA,NA,NA,NA,NA,NA
"2521","White-tailed Hummingbird","Colibri du Guerrero","Eupherusa poliocerca","Colibri de Guerrero",NA,NA,NA,NA,NA,NA
"2522","Blue-capped Hummingbird","Colibri d'Oaxaca","Eupherusa cyanophrys","Colibri Oaxaqueno",NA,NA,NA,NA,NA,NA
"2523","Stripe-tailed Hummingbird","Colibri a epaulettes","Eupherusa eximia","Colibri Colirrayado",NA,NA,NA,NA,NA,NA
"2524","Black-bellied Hummingbird","Colibri a ventre noir","Eupherusa nigriventris","Colibri Ventrinegro",NA,NA,NA,NA,NA,NA
"2525","Scaly-breasted Hummingbird","Colibri de Cuvier","Phaeochroa cuvierii","Colibri de Cuvier",NA,NA,NA,NA,NA,NA
"2526","Scaly-breasted Hummingbird (Robert's)","Colibri de Cuvier (roberti)","Phaeochroa cuvierii roberti","Colibri de Cuvier (roberti)",NA,NA,NA,NA,NA,NA
"2527","Scaly-breasted Hummingbird (Cuvier's)","Colibri de Cuvier (groupe cuvierii)","Phaeochroa cuvierii [cuvierii Group]","Colibri de Cuvier (grupo cuvierii)",NA,NA,NA,NA,NA,NA
"2528","Buffy Hummingbird","Colibri trompeur","Leucippus fallax","Colibri Ante",NA,NA,NA,NA,NA,NA
"2529","Tumbes Hummingbird","Colibri de Tumbes","Thaumasius baeri","Colibri de Tumbes",NA,NA,NA,NA,NA,NA
"2530","Spot-throated Hummingbird","Colibri de Taczanowski","Thaumasius taczanowskii","Colibri de Taczanowski",NA,NA,NA,NA,NA,NA
"2531","Many-spotted Hummingbird","Colibri grivele","Taphrospilus hypostictus","Colibri Moteado",NA,NA,NA,NA,NA,NA
"2532","Swallow-tailed Hummingbird","Colibri hirondelle","Eupetomena macroura","Colibri Golondrina",NA,NA,NA,NA,2579,11.62
"2533","Sombre Hummingbird","Colibri vert et gris","Eupetomena cirrochloris","Colibri Apagado",NA,NA,NA,NA,NA,NA
"2534","Olive-spotted Hummingbird","Colibri a queue verte","Talaphorus chlorocercus","Colibri Blanquioliva",NA,NA,NA,NA,NA,NA
"2535","Streamertail","Colibri a tete noire","Trochilus polytmus","Colibri Portacintas",NA,NA,NA,NA,NA,NA
"2536","Streamertail (Red-billed)","Colibri a tete noire (polytmus)","Trochilus polytmus polytmus","Colibri Portacintas (piquirrojo)",NA,NA,NA,NA,NA,NA
"2537","Streamertail (Black-billed)","Colibri a tete noire (scitulus)","Trochilus polytmus scitulus","Colibri Portacintas (piquinegro)",NA,NA,NA,NA,NA,NA
"2538","Streamertail (Red-billed x Black-billed)","Colibri a tete noire (a bec rouge x a bec noir)","Trochilus polytmus polytmus x scitulus","Colibri Portacintas (piquirrojo x piquinegro)",NA,NA,NA,NA,NA,NA
"2539","Violet-crowned Hummingbird","Ariane a couronne violette","Leucolia violiceps","Amazilia Coronivioleta",NA,NA,NA,NA,NA,NA
"2540","Broad-billed x Violet-crowned Hummingbird (hybrid)","Hybride Colibri circe x Ariane a couronne violette","Cynanthus latirostris x Leucolia violiceps","Colibri Piquiancho Comun x Amazilia Coronivioleta (hibrido)",NA,NA,NA,NA,NA,NA
"2541","Green-fronted Hummingbird","Ariane a front vert","Leucolia viridifrons","Amazilia Frentiverde",NA,NA,NA,NA,NA,NA
"2542","Green-fronted Hummingbird (Green-fronted)","Ariane a front vert (viridifrons)","Leucolia viridifrons viridifrons","Amazilia Frentiverde (viridifrons)",NA,NA,NA,NA,NA,NA
"2543","Green-fronted Hummingbird (Cinnamon-sided)","Ariane a front vert (wagneri)","Leucolia viridifrons wagneri","Amazilia Frentiverde (wagneri)",NA,NA,NA,NA,NA,NA
"2544","Green-fronted Hummingbird (villadai)","Ariane a front vert (villadai)","Leucolia viridifrons villadai","Amazilia Frentiverde (villadai)",NA,NA,NA,NA,NA,NA
"2545","Azure-crowned Hummingbird","Ariane a couronne azur","Saucerottia cyanocephala","Amazilia Coroniazul",NA,NA,NA,NA,NA,NA
"2546","Azure-crowned Hummingbird (Azure-crowned)","Ariane a couronne azur (cyanocephala)","Saucerottia cyanocephala cyanocephala","Amazilia Coroniazul (cyanocephala)",NA,NA,NA,NA,NA,NA
"2547","Azure-crowned Hummingbird (Mosquitia)","Ariane a couronne azur (chlorostephana)","Saucerottia cyanocephala chlorostephana","Amazilia Coroniazul (chlorostephana)",NA,NA,NA,NA,NA,NA
"2548","Blue-vented Hummingbird","Ariane de Hoffmann","Saucerottia hoffmanni","Amazilia Azul",NA,NA,NA,NA,NA,NA
"2549","Berylline Hummingbird","Ariane beryl","Saucerottia beryllina","Amazilia Berilina",1183,5.3,NA,NA,NA,NA
"2550","Berylline Hummingbird (Northern)","Ariane beryl (beryllina/viola)","Saucerottia beryllina beryllina/viola","Amazilia Berilina (beryllina/viola)",NA,NA,NA,NA,NA,NA
