species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
brctch1,avibase-4F9D43DE,19311,species,Brown-crowned Tchagra,Chagra Coroniparda,Tchagra australis,es
thstch1,avibase-FA7A6D02,19321,species,Three-streaked Tchagra,Chagra de James,Tchagra jamesi,es
soutch1,avibase-2507F6F4,19324,species,Southern Tchagra,Chagra de El Cabo,Tchagra tchagra,es
tchagr1,avibase-06A622A3,19328,spuh,tchagra sp.,Chagra sp.,Tchagra sp.,es
renbus1,avibase-C59DFD44,19329,species,Red-naped Bushshrike,Bubu Nuquirrojo,Laniarius ruficeps,es
sombou1,avibase-E7DC526A,19333,species,Coastal Boubou,Bubu de Erlanger,Laniarius nigerrimus,es
luebus1,avibase-5AF20251,19334,species,Luhder's Bushshrike,Bubu de Luhder,Laniarius luehderi,es
brabus1,avibase-EDE3A983,19335,species,Braun's Bushshrike,Bubu de Braun,Laniarius brauni,es
gabbus1,avibase-EB2CB5F5,19336,species,Gabela Bushshrike,Bubu Angoleno,Laniarius amboimensis,es
turbou1,avibase-E294BEED,19337,species,Turati's Boubou,Bubu de Turati,Laniarius turatii,es
trobou2,avibase-EBC3B53B,19338,species,Ethiopian Boubou,Bubu Abisinio,Laniarius aethiopicus,es
trobou1,avibase-07F940AA,19339,species,Tropical Boubou,Bubu Tropical,Laniarius major,es
zanbou1,avibase-0133C47B,19344,species,Zanzibar Boubou,Bubu de Cassin,Laniarius sublacteus,es
gabbou1,avibase-1776533D,19345,species,Gabon Boubou,Bubu Bicolor,Laniarius bicolor,es
gabbou2,avibase-038B9D5E,19346,issf,Gabon Boubou (Gabon),Bubu Bicolor (de Gabon),Laniarius bicolor bicolor/guttatus,es
gabbou3,avibase-AC694F0D,19349,issf,Gabon Boubou (Okavango),Bubu Bicolor (del Okavango),Laniarius bicolor sticturus,es
soubou1,avibase-2849059D,19350,species,Southern Boubou,Bubu Ferrugineo,Laniarius ferrugineus,es
comgon1,avibase-5B3BD7A0,19357,species,Yellow-crowned Gonolek,Bubu Coronigualdo,Laniarius barbarus,es
blhgon1,avibase-5E822C9C,19360,species,Black-headed Gonolek,Bubu Cabecinegro,Laniarius erythrogaster,es
