,keyword,spa_count,spa_mean
710,Zanate Mexicano,3713,16.73
711,Zarapito Boreal,1414,6.37
712,Zarapito Fino,680,3.06
713,Zarapito Real,1691,7.62
714,Zarapito Trinador,1138,5.13
715,Zenaida Peruana,1390,6.26
716,Zopilote Negro,3550,15.99
717,Zopilote Rey,2478,11.16
718,Zorzal Alirrojo,1754,7.90
719,Zorzal Cabecinegro,2165,9.75
720,Zorzal Chalchalero,3134,14.12
721,Zorzal Charlo,1950,8.78
722,Zorzal Colorado,4524,20.38
723,Zorzal Comun,5646,25.43
724,Zorzal Dorado,432,1.95
725,Zorzal Grandala,474,2.14
726,Zorzal Pardo,872,3.93
727,Zorzal Real,2626,11.83
728,Zorzal Rojigris,560,2.52
729,Paraguero Corbatudo,582,2.61
730,Paraguero Ornado,285,1.28
731,Pinguino Barbijo,1412,6.33
732,Pinguino de Adelia,1694,7.60
733,Pinguino de Galapagos,3825,17.15
734,Pinguino de Humboldt,4860,21.79
735,Pinguino Emperador,3108,13.94
736,Pinguino Enano,948,4.25
737,Pinguino Juanito,1816,8.14
738,Pinguino Macaroni,1910,8.57
739,Pinguino Magallanico,3029,13.58
740,Pinguino Rey,5345,23.97
