,keyword,mean
678,Tortola Rosigris,6.959459459
679,Tortola Turca,15.43693694
680,Tortolita Mexicana,10.27027027
681,Trepador Azul,15.43693694
682,Treparriscos,18.62162162
683,Trogon Malabar,15.72522523
684,Trompetero Aligris,3.085585586
685,Tucan Pechiblanco,2
686,Tucan Toco,15.31981982
687,Tucanete Culirrojo,1.198198198
688,Turaco de Guinea,2.756756757
689,Turaco de Knysna,1.923423423
690,Turaco de Livingstone,2.009009009
691,Turaco de Ross,1.972972973
692,Turpial Amarillo,16.59009009
693,Turpial Venezolano,7.932432432
694,Urraca Comun,20.40990991
695,Urraca de Formosa,5.756756757
696,Urraca Negra,13.22072072
697,Urraca Verde,10.4954955
698,Vencejo Cafre,7.810810811
699,Vencejo Comun,12.15315315
700,Vencejo Mongol,9.774774775
701,Vencejo Moro,2.099099099
702,Vencejo Palido,1.806306306
703,Verderon Comun,11.30630631
704,Verderon Serrano,7.725225225
705,Verdugo Flautista,2.846846847
706,Vinago Cuellirrosa,1.202702703
707,Viuda del Paraiso,7.288288288
708,Viuda Real,22.63513514
709,Yacutoro,7.738738739
710,Zanate Mexicano,16.72522523
711,Zarapito Boreal,6.369369369
712,Zarapito Fino,3.063063063
713,Zarapito Real,7.617117117
714,Zarapito Trinador,5.126126126
715,Zenaida Peruana,6.261261261
716,Zopilote Negro,15.99099099
717,Zopilote Rey,11.16216216
718,Zorzal Alirrojo,7.900900901
719,Zorzal Cabecinegro,9.752252252
720,Zorzal Chalchalero,14.11711712
721,Zorzal Charlo,8.783783784
722,Zorzal Colorado,20.37837838
723,Zorzal Comun,25.43243243
724,Zorzal Dorado,1.945945946
725,Zorzal Grandala,2.135135135
726,Zorzal Pardo,3.927927928
727,Zorzal Real,11.82882883
728,Zorzal Rojigris,2.522522523
729,Paraguero Corbatudo,2.609865471
730,Paraguero Ornado,1.278026906
731,Pinguino Barbijo,6.331838565
732,Pinguino de Adelia,7.596412556
733,Pinguino de Galapagos,17.15246637
734,Pinguino de Humboldt,21.79372197
735,Pinguino Emperador,13.93721973
736,Pinguino Enano,4.251121076
737,Pinguino Juanito,8.143497758
738,Pinguino Macaroni,8.565022422
739,Pinguino Magallanico,13.58295964
740,Pinguino Rey,23.96860987
